ENSG00000272824	RP6-74O6.6
ENSG00000236140	RP11-89F3.2
ENSG00000237343	RP11-763B22.4
ENSG00000235887	RP11-763B22.6
ENSG00000232527	RP11-14N7.2
ENSG00000232721	RP11-403I13.5
ENSG00000226067	LINC00869
ENSG00000230186	RP5-998N21.7
ENSG00000233030	RP11-196G18.3
ENSG00000264207	RP11-196G18.23
ENSG00000228126	LINC00568
ENSG00000237781	RP11-54A4.2
ENSG00000203804	ADAMTSL4-AS1
ENSG00000259357	RP11-316M1.12
ENSG00000231073	RP11-316M1.3
ENSG00000232671	RP11-126K1.2
ENSG00000273481	RP11-126K1.9
ENSG00000224645	RP11-126K1.8
ENSG00000237976	RP11-126K1.6
ENSG00000250734	RP11-404E16.1
ENSG00000227045	RP11-98D18.1
ENSG00000269621	RP11-98D18.15
ENSG00000249602	RP11-98D18.3
ENSG00000268288	RP11-98D18.16
ENSG00000203288	RP11-98D18.9
ENSG00000269489	RP11-98D18.17
ENSG00000234614	AL450992.2
ENSG00000229021	NBPF18P
ENSG00000226716	AL589986.2
ENSG00000237975	FLG-AS1
ENSG00000236427	RP11-107M16.2
ENSG00000224308	RP1-13P20.6
ENSG00000229699	RP1-140J1.1
ENSG00000238279	BX470102.3
ENSG00000272030	RP1-178F15.4
ENSG00000243613	RP11-216N14.8
ENSG00000233222	RP11-216N14.9
ENSG00000273026	RP11-422P24.10
ENSG00000272654	RP11-422P24.11
ENSG00000228013	RP11-350G8.5
ENSG00000273110	RP11-350G8.9
ENSG00000229780	UBE2Q1-AS1
ENSG00000233875	RP11-61L14.6
ENSG00000270361	RP11-307C12.13
ENSG00000271380	RP11-307C12.12
ENSG00000232093	RP11-307C12.11
ENSG00000231064	RP11-263K19.4
ENSG00000236263	RP11-263K19.6
ENSG00000225855	RUSC1-AS1
ENSG00000232519	RP11-29H23.4
ENSG00000227673	RP11-243J18.2
ENSG00000273002	RP11-336K24.12
ENSG00000224276	RP11-336K24.5
ENSG00000237390	RP11-139I14.2
ENSG00000260460	RP11-284F21.8
ENSG00000272971	RP11-284F21.11
ENSG00000272068	RP11-284F21.9
ENSG00000272405	RP11-284F21.10
ENSG00000229953	RP11-284F21.7
ENSG00000237588	RP11-66D17.3
ENSG00000223356	RP11-66D17.5
ENSG00000228239	RP11-85G21.1
ENSG00000271736	RP11-85G21.3
ENSG00000227217	RP11-367J7.3
ENSG00000231666	RP11-404O13.1
ENSG00000176320	RP11-404O13.5
ENSG00000236656	RP11-144L1.4
ENSG00000225670	CTA-134P22.2
ENSG00000228560	RP11-550P17.5
ENSG00000224943	RP11-180D21.3
ENSG00000188004	C1orf204
ENSG00000272668	RP11-190A12.8
ENSG00000224259	LINC01133
ENSG00000225279	RP11-536C5.2
ENSG00000227741	RP11-536C5.7
ENSG00000228606	RP11-574F21.2
ENSG00000234425	RP11-528G1.2
ENSG00000228863	RP11-404F10.2
ENSG00000232188	RP11-312J18.6
ENSG00000198358	RP11-544M22.1
ENSG00000228917	RP11-544M22.8
ENSG00000224985	RP11-297K8.2
ENSG00000224515	RP11-5K23.5
ENSG00000234211	RP11-25K21.1
ENSG00000226889	RP11-474I16.8
ENSG00000227818	RP11-227F8.2
ENSG00000227094	RP11-565P22.2
ENSG00000259788	RP11-359K18.3
ENSG00000232892	RP11-267N12.1
ENSG00000232995	RP11-267N12.3
ENSG00000237756	RP11-77M5.1
ENSG00000233693	RP11-506O24.1
ENSG00000224702	RP11-38C18.2
ENSG00000238022	RP11-38C18.3
ENSG00000237463	RP11-280O1.2
ENSG00000236206	RP11-306I1.2
ENSG00000273365	RP11-466F5.10
ENSG00000224358	RP11-466F5.8
ENSG00000236364	RP11-525G13.2
ENSG00000203307	RP11-375H19.2
ENSG00000229588	RP11-479J7.2
ENSG00000225325	RP11-479J7.1
ENSG00000234142	RP11-276E17.2
ENSG00000227907	RP11-102C16.3
ENSG00000231605	RP11-277B15.2
ENSG00000272205	RP11-277B15.3
ENSG00000273160	RP11-104L21.3
ENSG00000241666	RP3-455J7.4
ENSG00000232194	RP1-313L4.3
ENSG00000228697	RP5-968D22.1
ENSG00000235736	RP1-10C16.1
ENSG00000225826	LINC00626
ENSG00000203601	LINC00970
ENSG00000237707	RP5-1018K9.1
ENSG00000235575	RP4-800F24.1
ENSG00000230704	RP1-117P20.3
ENSG00000232959	RP11-332H17.1
ENSG00000233985	RP11-297H3.3
ENSG00000224286	LINC01142
ENSG00000231407	RP11-576I22.2
ENSG00000225545	RP11-545I10.2
ENSG00000235303	RP1-79C4.1
ENSG00000271811	RP1-79C4.4
ENSG00000225243	RP1-127D3.4
ENSG00000231424	RP1-45C12.1
ENSG00000230630	DNM3OS
ENSG00000224228	RP1-15D23.2
ENSG00000224000	RP3-471M13.2
ENSG00000226375	RP3-395P12.2
ENSG00000203739	RP11-296O14.3
ENSG00000238272	RP3-436N22.3
ENSG00000270084	GAS5-AS1
ENSG00000224977	RP11-160H22.3
ENSG00000227373	RP11-160H22.5
ENSG00000229531	RP1-102G20.5
ENSG00000230687	RP5-1114G22.2
ENSG00000260990	RP3-518E13.2
ENSG00000224718	RP11-222A5.1
ENSG00000227740	RP11-318C24.2
ENSG00000228686	RP11-492I21.1
ENSG00000236021	RP11-195C7.1
ENSG00000224968	RP1-35C21.1
ENSG00000227579	RP1-35C21.2
ENSG00000236720	RP11-63B19.1
ENSG00000224687	RASAL2-AS1
ENSG00000213057	C1orf220
ENSG00000273384	RP5-1098D14.1
ENSG00000273062	RP11-428K3.1
ENSG00000261250	RP11-545A16.1
ENSG00000243062	RP11-12M5.1
ENSG00000229407	RP11-12M5.3
ENSG00000231966	RP11-12M5.4
ENSG00000272906	RP11-533E19.7
ENSG00000261831	RP11-533E19.2
ENSG00000260360	RP11-533E19.5
ENSG00000261817	RP11-502H18.2
ENSG00000236719	OVAAL
ENSG00000225857	RP11-46A10.2
ENSG00000243155	RP11-46A10.5
ENSG00000232586	RP11-46A10.4
ENSG00000237292	RP11-540K16.1
ENSG00000225359	RP11-540K16.2
ENSG00000179452	RP11-380B22.1
ENSG00000272880	RP11-33M22.2
ENSG00000224810	RP11-538D16.2
ENSG00000225982	RP11-538D16.3
ENSG00000232309	GS1-122H1.1
ENSG00000228918	GS1-122H1.2
ENSG00000203729	LINC00272
ENSG00000261504	RP11-317P15.4
ENSG00000227181	RP11-317P15.3
ENSG00000224468	RP11-181K3.4
ENSG00000227554	RP11-444D13.1
ENSG00000231791	RP11-382D12.1
